distance_km,fuel_price,hour,day_of_week,traffic_level,weather,vehicle_type,fare
38.43,5337.63,12,5,1,0,Special Hire,47500
20.52,5682.03,15,3,1,0,Mini Bus,7500
8.33,5849.26,18,2,3,0,Mini Bus,5500
35.38,6295.97,0,6,2,1,Mini Bus,23000
33.53,5103.37,2,2,2,0,Mini Bus,15500
35.04,4835.55,17,2,2,0,Special Hire,48500
17.65,5662.96,11,6,1,0,Special Hire,23500
30.81,6302.61,23,3,1,0,Taxi,25000
13.93,4233.54,8,4,3,0,Mini Bus,7000
23.05,5059.0,17,1,3,0,Taxi,21500
43.67,4875.78,6,1,1,0,Mini Bus,13000
10.96,4888.67,20,2,2,0,Boda Boda,6500
14.5,6345.65,14,4,1,0,Boda Boda,8000
23.38,4949.32,15,1,1,0,Mini Bus,8000
24.69,5203.81,23,4,1,0,Taxi,18000
41.28,4607.69,0,2,1,0,Boda Boda,19500
24.27,4585.87,3,1,1,0,Special Hire,32500
5.93,5408.91,14,0,1,0,Special Hire,8000
35.06,4514.71,5,6,1,0,Special Hire,43500
33.63,4785.25,7,5,2,0,Taxi,23500
38.41,6074.28,3,2,1,1,Boda Boda,26500
9.1,5444.62,13,0,1,0,Special Hire,12000
37.19,5771.86,5,6,2,1,Mini Bus,22000
14.74,6087.65,12,0,1,0,Special Hire,20500
41.41,5755.22,11,2,1,0,Taxi,28000
21.87,4522.93,12,2,1,0,Taxi,12500
24.12,6487.09,14,2,1,1,Boda Boda,15500
7.82,5492.2,9,3,3,0,Boda Boda,6500
1.46,4331.98,11,4,1,0,Boda Boda,1500
3.81,6360.13,7,2,3,1,Boda Boda,5000
10.78,5697.36,8,4,3,0,Boda Boda,8500
44.98,4797.98,7,5,3,0,Mini Bus,20500
37.17,6334.9,3,6,1,0,Taxi,31000
15.53,5351.09,6,2,1,0,Special Hire,20500
12.76,6351.43,10,4,1,0,Taxi,9500
42.92,4251.64,13,5,1,0,Special Hire,44500
40.92,5238.35,10,4,1,0,Boda Boda,18000
23.33,5606.43,3,1,1,0,Boda Boda,13000
5.05,4502.72,22,4,1,0,Taxi,4500
5.6,6294.39,2,6,1,0,Boda Boda,4000
17.97,4732.4,0,3,1,0,Special Hire,24500
26.5,5943.39,20,1,3,0,Mini Bus,15000
5.16,5796.39,16,0,1,0,Boda Boda,3500
0.51,6385.77,14,2,1,0,Boda Boda,1500
20.1,5966.72,14,6,1,0,Mini Bus,8000
18.63,4386.81,2,6,2,0,Mini Bus,8000
44.33,5777.37,6,3,1,0,Taxi,30000
33.44,6451.77,23,5,1,0,Taxi,28000
34.77,5122.54,11,3,1,1,Taxi,27500
2.52,4132.54,5,6,1,0,Taxi,2500
32.39,4077.12,10,5,1,0,Taxi,17000
3.91,5826.85,4,6,2,1,Mini Bus,4000
39.04,5899.54,8,2,2,0,Mini Bus,16500
23.81,6184.75,20,0,3,0,Special Hire,50500
25.37,5811.42,17,5,3,0,Special Hire,50000
14.42,4713.32,15,6,1,1,Taxi,11000
5.36,6364.98,18,5,2,1,Special Hire,12500
41.75,5405.43,12,3,1,0,Boda Boda,19000
41.29,5849.19,5,6,1,0,Taxi,32500
41.17,4944.74,2,3,1,0,Boda Boda,20500
40.11,4896.58,10,1,2,0,Taxi,28500
7.47,5759.8,19,5,3,0,Special Hire,16000
0.66,6176.7,1,6,1,0,Special Hire,2000
44.14,5981.79,3,1,1,0,Taxi,35000
28.25,4452.21,11,1,1,1,Special Hire,38000
14.15,5813.67,0,0,1,1,Taxi,14500
24.19,4883.86,23,0,2,1,Special Hire,49000
12.85,4187.06,21,4,1,0,Special Hire,14500
34.38,5172.36,21,0,1,1,Special Hire,52500
38.12,5589.97,17,4,3,0,Taxi,37000
15.87,4874.85,17,3,2,1,Taxi,15000
26.79,5993.24,23,3,1,1,Boda Boda,19000
26.16,4542.94,16,5,1,0,Mini Bus,8000
3.22,5256.09,7,1,2,1,Mini Bus,3000
41.59,4687.25,7,0,3,0,Special Hire,70500
3.3,4997.99,17,1,3,0,Special Hire,7000
28.8,6487.89,1,5,2,0,Boda Boda,21000
29.91,4496.65,17,1,3,0,Boda Boda,19000
14.04,5437.82,9,6,3,1,Taxi,18000
1.56,5731.25,13,4,1,0,Special Hire,3000
17.5,4242.3,18,6,2,0,Taxi,12000
32.29,4271.63,14,6,1,1,Taxi,22500
26.04,5430.44,7,3,3,0,Special Hire,49500
20.91,5221.33,17,1,3,0,Boda Boda,14500
44.45,5478.14,12,5,1,0,Boda Boda,20500
6.23,4565.54,3,1,1,0,Mini Bus,3000
14.18,5595.06,2,4,2,0,Mini Bus,7500
24.0,5238.46,5,0,1,0,Special Hire,34000
40.57,4729.62,4,3,2,0,Boda Boda,23500
7.14,4499.75,2,2,2,1,Mini Bus,5000
3.91,4608.49,3,1,1,0,Mini Bus,2500
21.52,5535.24,5,3,1,1,Boda Boda,15000
5.51,5572.18,9,6,2,1,Mini Bus,4000
43.15,4685.68,0,4,2,0,Mini Bus,17500
42.72,4489.92,5,3,1,0,Taxi,27500
39.8,6384.77,11,5,1,0,Special Hire,56500
16.9,4892.52,0,2,2,1,Mini Bus,10000
13.57,6221.34,16,3,2,0,Boda Boda,8500
26.96,5598.46,7,0,3,0,Taxi,27500
31.13,5314.31,0,5,1,0,Special Hire,44500
22.19,5236.96,5,3,1,0,Boda Boda,11500
38.77,6187.21,9,2,3,0,Mini Bus,21000
12.89,6028.27,6,3,1,0,Mini Bus,5000
1.73,5563.31,4,3,1,0,Boda Boda,2000
9.08,4665.11,12,5,1,0,Special Hire,11500
7.84,5490.59,7,5,2,0,Mini Bus,4000
38.53,5901.37,14,5,1,0,Boda Boda,18500
31.4,5434.68,19,1,3,0,Mini Bus,15500
1.68,5795.95,15,3,2,0,Boda Boda,2000
1.01,5932.56,21,2,1,0,Special Hire,2500
6.94,4996.57,18,5,3,1,Boda Boda,7000
9.75,5070.11,14,0,2,0,Taxi,8000
2.7,4094.56,16,1,1,0,Boda Boda,2000
30.29,5390.69,10,6,1,0,Mini Bus,10500
24.5,6214.85,0,2,1,0,Boda Boda,14000
24.13,5014.39,7,4,2,0,Special Hire,35500
24.38,4886.72,11,4,1,0,Taxi,14500
7.06,4893.93,3,2,1,0,Mini Bus,3500
12.81,5900.9,9,1,3,0,Special Hire,27000
31.92,4631.12,5,5,2,1,Taxi,32000
42.37,4165.04,23,4,2,0,Mini Bus,17000
37.16,6412.05,2,6,1,0,Mini Bus,16000
2.23,4445.46,21,0,1,0,Special Hire,3500
16.13,5319.15,8,0,3,0,Boda Boda,12000
42.38,5441.84,8,3,3,0,Special Hire,79000
7.17,4949.06,5,2,1,0,Mini Bus,3500
36.05,5399.42,16,2,1,0,Special Hire,46500
36.64,5204.64,3,1,1,0,Mini Bus,14000
27.26,4230.37,5,6,1,0,Special Hire,33000
34.51,6473.08,12,3,1,1,Taxi,32000
41.27,6167.48,5,3,2,0,Mini Bus,20000
37.3,4001.34,6,0,2,0,Mini Bus,12500
8.86,5764.66,0,1,1,1,Boda Boda,7500
14.0,4673.93,13,6,1,0,Mini Bus,5000
28.83,6197.78,10,6,2,0,Special Hire,49500
30.11,4910.45,2,0,1,0,Taxi,21500
42.71,6461.96,13,4,1,0,Taxi,31000
30.24,6196.48,5,2,2,0,Taxi,29500
39.11,6271.18,7,4,2,0,Boda Boda,24500
30.53,4953.4,1,0,1,0,Taxi,22000
37.52,5889.2,22,6,1,0,Taxi,30000
12.97,4146.33,8,3,3,0,Mini Bus,6500
13.76,5535.77,20,3,3,0,Special Hire,26500
44.91,5222.82,4,6,1,0,Taxi,32000
24.39,6260.65,1,2,1,0,Mini Bus,11000
33.95,5182.8,8,1,3,0,Boda Boda,23000
20.78,6442.37,3,5,1,0,Taxi,18000
4.55,4191.42,14,4,1,0,Special Hire,5500
18.45,6234.89,1,4,1,0,Taxi,15500
1.93,4595.72,16,4,1,0,Mini Bus,1500
24.19,5619.73,23,1,1,0,Mini Bus,10000
10.39,4750.1,23,2,1,0,Special Hire,15000
23.36,4014.55,12,0,1,0,Special Hire,24000
24.6,5163.72,21,5,1,0,Boda Boda,11500
4.0,5533.53,15,6,1,0,Mini Bus,2000
29.97,6185.03,8,4,3,0,Mini Bus,17000
28.43,5988.32,5,2,1,0,Mini Bus,12000
38.67,5011.6,20,5,3,1,Special Hire,86500
26.14,4307.41,17,6,2,0,Mini Bus,9500
38.25,6415.92,17,3,2,0,Taxi,32500
0.56,4826.71,9,4,3,0,Mini Bus,1500
32.03,5788.73,2,6,1,0,Mini Bus,13500
17.03,4449.72,9,4,2,0,Taxi,12000
40.62,6049.62,7,2,2,0,Boda Boda,24000
17.49,6109.97,4,2,2,0,Special Hire,33000
26.65,6050.88,13,6,2,0,Boda Boda,16000
20.39,4476.13,17,3,3,0,Taxi,17500
32.73,5130.8,17,4,3,0,Mini Bus,16000
16.5,5412.85,14,2,1,0,Mini Bus,6000
44.08,4891.09,19,4,3,0,Boda Boda,28500
39.06,6083.56,3,6,1,0,Taxi,32000
33.06,4996.89,2,3,2,1,Special Hire,66000
30.42,5142.49,15,3,2,0,Special Hire,44500
5.89,5698.38,4,1,1,0,Taxi,5500
29.86,5365.96,3,6,1,0,Boda Boda,16000
11.05,5534.51,10,1,1,0,Taxi,8000
26.93,4718.1,8,2,3,0,Mini Bus,12500
43.67,4256.57,11,3,1,0,Boda Boda,17000
2.72,4395.75,4,0,1,1,Special Hire,5500
44.42,6143.47,14,4,2,0,Mini Bus,18500
34.83,5215.1,18,6,2,0,Boda Boda,18500
9.47,4626.67,11,1,1,0,Boda Boda,4500
35.35,5129.69,17,4,2,0,Special Hire,50000
34.79,4820.97,10,0,1,0,Boda Boda,14500
44.07,4702.65,20,1,3,0,Boda Boda,27500
33.74,5417.5,14,3,1,0,Boda Boda,15500
14.41,5594.03,12,5,2,1,Special Hire,29000
2.33,4739.01,8,1,2,0,Mini Bus,2000
36.41,5708.83,10,5,1,0,Taxi,24500
31.72,5814.5,20,3,3,0,Boda Boda,23000
29.06,5930.55,9,3,3,0,Special Hire,58000
35.53,5648.89,8,1,3,0,Mini Bus,18000
28.1,5002.46,16,6,1,0,Boda Boda,12000
4.58,4948.65,9,1,3,1,Special Hire,11500
44.1,6495.59,18,3,3,0,Taxi,48500
11.48,6377.34,4,5,1,1,Special Hire,24000
27.71,5399.88,21,0,1,0,Special Hire,35000
29.34,5027.85,19,1,2,1,Special Hire,53000
23.89,5565.15,13,6,1,0,Taxi,16000
40.27,5716.33,9,2,2,0,Taxi,33000
30.03,5853.77,3,4,1,0,Boda Boda,17000
2.06,4937.99,16,3,1,0,Taxi,2000
11.7,6325.23,8,5,3,0,Special Hire,25000
10.51,4674.0,14,4,1,0,Mini Bus,4000
5.68,5357.86,15,2,1,0,Mini Bus,2500
42.76,6017.17,3,0,1,0,Boda Boda,24000
37.21,5163.45,13,2,1,1,Mini Bus,15000
25.72,5375.11,18,5,3,0,Mini Bus,13000
25.63,6043.02,17,4,3,0,Mini Bus,14500
16.91,6294.58,5,3,2,0,Mini Bus,9500
5.9,4362.65,8,1,2,0,Taxi,5000
18.99,5848.84,5,4,2,1,Mini Bus,12000
21.44,5057.32,12,5,1,0,Taxi,13500
34.05,4819.84,8,4,2,0,Taxi,24500
4.79,4552.87,23,2,1,1,Mini Bus,3500
36.36,6119.51,1,4,1,1,Special Hire,73000
7.06,4232.01,0,0,1,0,Boda Boda,4000
2.86,6166.25,23,2,1,0,Boda Boda,3000
15.12,4941.25,8,1,3,0,Boda Boda,10500
43.27,5738.07,8,6,2,0,Mini Bus,18000
19.07,5293.54,15,3,1,0,Boda Boda,9000
22.53,5789.23,9,4,3,0,Boda Boda,16500
24.92,5160.22,22,6,1,0,Special Hire,34000
44.15,5016.7,19,0,2,0,Mini Bus,17000
1.06,5743.35,20,0,3,0,Taxi,2500
35.56,6402.07,14,5,1,0,Special Hire,50000
18.23,4125.29,14,0,2,0,Taxi,12500
40.79,5018.83,9,2,3,1,Special Hire,88500
21.71,6331.64,11,4,1,0,Mini Bus,8500
10.34,4930.38,20,4,3,0,Boda Boda,8000
6.78,4369.21,6,1,1,0,Mini Bus,3000
14.43,5780.06,5,5,2,0,Boda Boda,10000
14.71,5138.57,15,2,2,0,Mini Bus,6500
17.58,5431.24,1,6,1,0,Taxi,13000
28.92,4745.64,1,2,2,0,Special Hire,46000
33.45,5310.76,4,2,1,1,Boda Boda,21000
6.72,4622.93,1,0,1,0,Special Hire,9500
15.53,4227.2,1,3,1,0,Mini Bus,5500
16.77,4936.67,22,2,1,0,Taxi,12500
42.34,5038.5,7,1,3,0,Mini Bus,20000
16.85,4529.71,8,6,3,0,Special Hire,28500
32.69,5056.12,23,6,1,0,Special Hire,44000
2.48,5372.0,7,1,3,1,Mini Bus,3500
5.12,5281.89,3,2,1,0,Boda Boda,3500
26.09,5226.48,19,3,3,0,Taxi,24500
42.55,6062.79,2,1,1,0,Boda Boda,23500
3.13,6163.66,8,2,2,0,Boda Boda,3000
33.9,5276.09,6,6,1,0,Mini Bus,11500
20.64,5852.33,12,3,1,0,Taxi,15000
1.43,4251.34,2,6,1,0,Mini Bus,1500
21.95,5126.11,9,3,3,0,Taxi,21000
23.79,4444.37,11,0,1,0,Boda Boda,10000
11.08,5865.01,14,3,2,0,Mini Bus,5500
22.41,6316.04,14,4,2,0,Mini Bus,10500
43.4,4393.7,9,0,3,0,Boda Boda,25500
3.19,5118.82,5,0,1,1,Boda Boda,3500
43.18,6383.22,15,0,1,1,Mini Bus,20000
13.66,4960.0,11,0,2,0,Taxi,10500
22.3,5316.2,14,1,1,0,Taxi,14500
27.12,5299.16,3,1,2,0,Taxi,24500
26.06,4070.81,13,0,1,0,Special Hire,28000
41.65,6263.47,4,3,1,0,Taxi,33500
33.57,4814.4,8,4,3,0,Taxi,30000
27.1,5338.94,22,6,2,0,Special Hire,46500
1.9,5231.75,0,4,1,0,Boda Boda,2000
36.06,5148.65,20,2,2,0,Boda Boda,19000
23.81,4375.8,5,3,1,0,Boda Boda,11500
41.81,5714.97,15,5,1,0,Boda Boda,20000
42.98,5256.58,18,2,2,1,Boda Boda,28500
37.76,6154.17,6,2,1,1,Mini Bus,16500
37.18,5121.07,2,2,1,0,Mini Bus,13500
4.57,5184.05,12,2,1,0,Special Hire,6500
23.79,4538.63,10,3,1,0,Special Hire,27000
42.14,5811.53,6,1,1,1,Mini Bus,18500
33.61,5340.2,2,2,1,0,Boda Boda,18000
32.82,5162.0,0,5,1,1,Boda Boda,20500
16.05,4723.7,23,0,1,0,Boda Boda,8500
44.72,4042.66,15,2,1,0,Mini Bus,12500
36.94,5356.92,1,2,1,0,Mini Bus,14000
25.43,5784.68,16,1,1,0,Boda Boda,12000
31.3,4852.64,12,6,1,0,Boda Boda,13500
27.29,5218.81,15,5,1,0,Boda Boda,12500
24.99,4823.76,15,5,2,0,Taxi,18000
12.35,6363.4,16,5,1,1,Special Hire,22500
20.59,6044.09,20,3,3,0,Special Hire,42500
43.22,4614.2,13,5,1,1,Taxi,30000
20.15,4846.85,11,5,2,0,Taxi,15000
23.31,4141.13,17,4,3,0,Mini Bus,10500
33.23,4548.98,3,2,1,0,Taxi,22500
37.58,6450.68,3,6,1,0,Taxi,31000
10.65,4695.78,12,1,2,0,Special Hire,16000
30.82,5275.79,7,0,2,0,Mini Bus,12500
5.39,5107.47,1,5,1,0,Taxi,5000
11.82,5904.85,10,4,2,0,Taxi,10500
8.66,5134.27,15,6,1,0,Boda Boda,4500
36.86,4802.24,7,6,3,0,Special Hire,62500
5.8,4437.58,13,0,1,1,Taxi,5000
13.72,5828.41,12,4,1,0,Mini Bus,5500
24.11,5812.05,9,0,3,0,Taxi,24500
17.85,6340.79,18,1,3,1,Boda Boda,18500
18.96,4008.17,13,2,1,0,Mini Bus,6000
41.69,6045.7,0,4,1,0,Mini Bus,17000
5.75,5901.4,7,6,3,0,Mini Bus,4000
12.92,4247.72,11,5,1,0,Mini Bus,4500
10.87,6459.96,21,3,1,0,Special Hire,16500
10.7,4678.55,5,1,1,0,Taxi,8000
36.48,4817.55,23,3,1,0,Taxi,25000
42.78,4880.0,8,6,2,0,Special Hire,60000
14.73,4167.01,10,0,1,0,Taxi,8500
12.05,5365.09,16,4,2,0,Special Hire,19000
16.59,4746.34,22,0,1,0,Boda Boda,9000
26.69,5867.94,13,4,2,0,Special Hire,42500
24.22,4658.21,3,1,1,1,Special Hire,39500
32.88,6406.24,23,4,1,0,Special Hire,54000
20.6,4172.5,19,3,3,0,Mini Bus,9500
44.53,4509.42,12,1,1,0,Mini Bus,13000
39.83,5032.27,22,2,1,0,Mini Bus,14000
31.94,5264.31,9,5,3,0,Special Hire,58500
27.63,6323.77,12,3,1,0,Mini Bus,10500
25.63,5877.88,18,5,3,0,Taxi,26500
12.88,4592.78,9,3,2,0,Boda Boda,7000
39.76,5692.61,21,4,1,0,Special Hire,50000
2.16,6485.8,21,3,1,0,Boda Boda,2000
8.52,4891.08,10,3,1,0,Taxi,6000
8.82,5000.65,4,6,1,0,Special Hire,13000
12.73,5725.77,9,0,3,0,Boda Boda,10000
15.09,6159.51,23,6,1,0,Taxi,13000
11.98,4697.84,14,4,1,1,Special Hire,18000
11.63,4362.7,15,1,1,0,Mini Bus,4000
10.38,6275.0,5,1,1,0,Mini Bus,5000
3.36,4606.56,23,6,2,0,Taxi,4000
20.82,6292.77,1,0,1,0,Boda Boda,13000
25.79,5263.67,8,1,2,0,Taxi,19500
30.32,5016.34,21,6,1,0,Taxi,18000
36.11,6230.88,8,5,3,0,Mini Bus,20000
39.32,6067.99,20,5,3,0,Special Hire,79000
23.26,5703.15,14,3,1,1,Special Hire,38000
44.12,5087.6,16,2,1,0,Mini Bus,14000
30.16,4253.04,9,6,3,0,Special Hire,47000
27.82,4877.69,0,2,2,0,Special Hire,46000
38.49,4506.28,10,2,1,0,Special Hire,41500
12.73,5040.33,3,2,1,0,Boda Boda,7000
44.31,4375.55,8,2,3,0,Taxi,36000
29.32,5802.36,12,5,1,1,Taxi,25000
13.71,5045.92,14,5,1,0,Taxi,9000
8.0,5842.75,16,5,1,1,Special Hire,14000
27.35,6372.74,13,0,1,0,Special Hire,39500
18.89,5915.26,10,5,1,0,Boda Boda,10000
1.7,6361.53,20,6,3,0,Mini Bus,2500
35.76,5102.12,16,3,1,0,Special Hire,43000
30.89,4235.11,16,2,2,0,Boda Boda,15000
43.25,4863.24,13,6,1,0,Taxi,26000
18.08,4100.81,16,1,1,1,Special Hire,24000
15.31,4290.04,0,5,1,0,Mini Bus,6000
28.96,5376.03,4,6,1,0,Mini Bus,11000
5.02,5820.43,17,3,3,0,Special Hire,11500
19.16,4299.82,20,5,2,0,Mini Bus,7500
44.42,4195.33,16,3,2,1,Boda Boda,25500
14.84,4566.28,9,4,3,0,Mini Bus,7500
39.05,4930.71,12,5,1,0,Taxi,24000
18.67,4379.61,3,3,1,1,Taxi,16000
16.05,4176.16,9,6,3,0,Boda Boda,10000
31.67,5208.58,22,4,1,0,Special Hire,45500
6.49,4708.44,12,5,2,0,Taxi,5500
23.34,4162.19,11,1,2,0,Boda Boda,11500
18.76,5381.2,10,3,1,0,Special Hire,24500
5.57,6034.0,20,6,3,0,Boda Boda,5500
9.5,4561.0,8,4,3,0,Special Hire,16500
20.03,4212.31,14,3,1,0,Boda Boda,8500
39.33,4850.19,20,6,3,0,Mini Bus,18000
34.47,6108.28,17,4,3,0,Boda Boda,26000
5.2,6375.63,16,4,1,0,Taxi,4500
7.46,5063.58,11,4,2,0,Boda Boda,5000
41.25,5656.52,20,1,3,0,Mini Bus,21000
11.38,4739.84,18,0,3,0,Taxi,11000
21.21,5359.98,3,3,1,0,Boda Boda,11500
12.01,5131.92,18,5,3,0,Taxi,12500
44.73,6405.29,7,0,3,0,Taxi,47500
23.5,5839.67,14,1,1,1,Special Hire,39000
4.64,5435.34,6,0,1,0,Mini Bus,2500
12.4,4466.39,20,2,3,0,Boda Boda,8500
29.82,5497.42,4,2,1,0,Special Hire,45000
12.66,5728.3,4,5,2,1,Taxi,15500
7.62,4115.44,9,2,2,0,Mini Bus,3500
24.58,4552.48,7,3,3,0,Boda Boda,15500
40.01,4762.67,9,5,2,0,Boda Boda,20500
42.13,5005.09,2,5,1,1,Taxi,35500
31.13,4247.76,11,3,1,0,Special Hire,33500
4.01,6253.3,13,3,1,0,Mini Bus,2500
16.53,5856.1,19,1,3,0,Mini Bus,9500
6.49,4140.87,19,6,3,0,Special Hire,11500
38.16,4679.26,7,5,2,0,Special Hire,50500
32.96,5015.16,16,3,1,0,Mini Bus,10500
13.32,6358.57,2,2,1,0,Mini Bus,6500
10.04,6338.26,2,4,1,1,Boda Boda,8500
12.4,4271.22,1,2,2,0,Special Hire,19500
33.45,6184.6,22,0,1,0,Boda Boda,20000
35.78,4804.28,17,1,3,0,Taxi,31000
43.75,4205.17,10,5,1,1,Boda Boda,21000
44.14,4197.86,21,5,1,0,Boda Boda,17000
32.06,4297.85,12,5,1,1,Mini Bus,11500
34.65,5606.81,12,6,1,0,Boda Boda,16500
23.64,4316.53,9,2,2,0,Mini Bus,8500
31.65,6123.72,22,1,2,0,Mini Bus,15500
9.04,5109.14,6,1,1,0,Special Hire,11500
38.93,4553.59,7,5,3,0,Boda Boda,23500
33.57,5544.87,4,6,1,0,Taxi,25000
0.67,6494.23,20,3,2,0,Special Hire,2500
27.12,5677.25,23,6,1,0,Special Hire,40500
8.53,4840.78,18,0,3,1,Special Hire,20500
42.3,5239.12,6,6,1,0,Special Hire,53000
26.42,4934.33,5,3,1,0,Boda Boda,13500
29.22,5742.2,7,4,3,1,Special Hire,73000
18.6,6030.87,19,2,3,0,Mini Bus,10500
11.42,4188.9,16,2,1,0,Special Hire,13000
28.26,5698.63,3,4,1,1,Mini Bus,14000
19.79,4386.71,6,0,2,1,Mini Bus,9500
10.71,4816.48,2,3,1,0,Special Hire,15500
9.68,6233.88,14,4,1,0,Taxi,8000
8.34,4173.28,2,0,1,1,Special Hire,14000
29.44,5779.11,15,5,1,0,Mini Bus,10500
5.36,5349.5,7,3,2,0,Boda Boda,4000
13.66,4619.73,13,3,1,0,Taxi,8500
3.14,4241.47,21,4,1,0,Mini Bus,2000
3.08,4368.58,4,4,1,0,Boda Boda,2500
37.79,4347.73,8,1,2,0,Mini Bus,13000
32.55,6228.83,1,3,1,0,Mini Bus,14000
23.77,4252.86,15,4,1,0,Taxi,13000
0.55,5191.4,20,4,3,0,Special Hire,2500
42.05,6090.27,10,1,1,0,Taxi,29500
29.75,4850.26,6,3,1,0,Mini Bus,9500
0.91,4719.94,8,5,2,0,Taxi,2000
43.94,4298.66,22,4,1,0,Special Hire,54500
42.18,5291.47,9,2,3,1,Taxi,49500
42.96,4920.27,1,4,2,0,Taxi,35000
25.84,6096.3,7,0,3,0,Special Hire,52000
12.18,5477.55,8,2,3,0,Boda Boda,9000
15.24,4398.61,17,4,2,0,Taxi,11000
39.54,5294.35,13,5,1,0,Special Hire,48500
21.89,4157.89,3,6,1,0,Boda Boda,10000
27.24,4951.1,8,2,3,0,Taxi,25000
42.59,6064.87,20,5,3,0,Mini Bus,23500
43.02,5379.08,22,5,2,0,Boda Boda,27500
29.86,4411.82,5,4,1,1,Boda Boda,17500
19.78,5811.05,13,2,1,0,Taxi,14000
43.57,5122.2,22,0,1,0,Taxi,30500
29.6,4959.41,1,4,1,1,Special Hire,51500
11.97,6386.25,18,1,3,0,Mini Bus,8000
20.73,5848.55,18,0,3,0,Taxi,21500
29.03,5115.85,18,5,3,0,Special Hire,54000
11.2,6159.3,13,0,1,1,Special Hire,19500
17.64,5159.25,1,4,1,0,Special Hire,25500
23.9,4035.21,0,4,1,1,Taxi,19000
10.3,4100.15,0,0,1,0,Mini Bus,4000
44.26,5487.4,22,2,1,0,Taxi,32500
24.66,5529.84,8,5,3,0,Taxi,25000
26.68,5790.2,4,3,2,0,Boda Boda,17500
